发送时间戳,当前时间戳,延迟差(ms)
1733300549525,1733300549830,305
1733300549493,1733300549830,337
1733300549653,1733300549838,185
1733300549675,1733300549839,164
1733300549666,1733300549841,175
1733300549553,1733300549841,288
1733300549660,1733300549841,181
1733300549600,1733300549841,241
1733300549738,1733300549842,104
1733300549650,1733300549842,192
1733300549673,1733300549842,169
1733300549659,1733300549842,183
1733300549574,1733300549842,268
1733300549532,1733300549843,311
1733300549650,1733300549843,193
1733300549568,1733300549843,275
1733300549627,1733300549844,217
1733300549714,1733300549844,130
1733300549666,1733300549846,180
1733300549638,1733300549852,214
1733300549596,1733300549852,256
1733300549625,1733300549852,227
1733300549640,1733300549852,212
1733300549668,1733300549852,184
1733300549664,1733300549853,189
1733300549598,1733300549853,255
1733300549627,1733300549853,226
1733300549588,1733300549853,265
1733300549620,1733300549854,234
1733300549764,1733300549854,90
1733300549508,1733300549854,346
1733300549513,1733300549854,341
1733300549630,1733300549854,224
1733300549535,1733300549856,321
1733300549570,1733300549856,286
1733300549503,1733300549856,353
1733300549617,1733300549856,239
1733300549688,1733300549856,168
1733300549679,1733300549858,179
1733300549751,1733300549876,125
1733300549658,1733300549876,218
1733300549604,1733300549877,273
1733300549678,1733300549877,199
1733300549632,1733300549877,245
1733300549726,1733300549877,151
1733300549548,1733300549878,330
1733300549669,1733300549885,216
1733300549755,1733300549885,130
1733300549681,1733300549889,208
1733300549765,1733300549889,124
1733300549761,1733300549889,128
1733300549635,1733300549889,254
1733300549686,1733300549890,204
1733300549747,1733300549890,143
1733300549635,1733300549891,256
1733300549771,1733300549891,120
1733300549742,1733300549892,150
1733300549813,1733300549892,79
1733300549680,1733300549892,212
1733300549779,1733300549893,114
1733300549781,1733300549894,113
1733300549822,1733300549896,74
1733300549769,1733300549896,127
1733300549765,1733300549897,132
1733300549790,1733300549897,107
1733300549677,1733300549897,220
1733300549725,1733300549897,172
1733300549682,1733300549898,216
1733300549714,1733300549898,184
1733300549728,1733300549898,170
1733300549781,1733300549898,117
1733300549823,1733300549899,76
1733300549796,1733300549899,103
1733300549780,1733300549899,119
1733300549796,1733300549899,103
1733300549699,1733300549899,200
1733300549759,1733300549900,141
1733300549734,1733300549902,168
1733300549545,1733300549902,357
1733300549713,1733300549903,190
1733300549578,1733300549903,325
1733300549708,1733300549903,195
1733300549618,1733300549903,285
1733300549798,1733300549905,107
1733300549809,1733300549906,97
1733300549636,1733300549918,282
1733300549675,1733300549918,243
1733300549681,1733300549918,237
1733300549673,1733300549919,246
1733300549719,1733300549919,200
1733300549697,1733300549919,222
1733300549813,1733300549919,106
1733300549658,1733300549919,261
1733300549778,1733300549919,141
1733300549696,1733300549920,224
1733300549796,1733300549920,124
1733300549825,1733300549920,95
1733300549659,1733300549920,261
1733300549759,1733300549920,161
1733300549773,1733300549921,148
1733300549682,1733300549921,239
